"Id","Nimi","Ainekset","Valmistusohje","Huomio","Valmistuspvt","Arvio","Ominaisuus","Doshat","Luokka","Vuodenaika","Kasvikset","Kotimaa","Pisteet","Tyyppi","Suosikki","OmaLista","Author"
"1","Vuohenjuusto-Bruschettat","kasviöljyä;8 palaa patonkia;1 valkosipulin kynsi;1 avokado;1/2 sitruunan mehu;3 tomaattia;1/2 pkt (200 g) vuohenjuustoa, esimerkiksi Chevrentine Saint Maure;1 dl lehtipersiljasilppua;suolaa;mustapippuria","Kuumenna paistinpannulla tilkka oljya ja paista siinä patonkiviipaleet rapeiksi. Hiero paistetun leivan pintaan makua valkosipulinkynnestä.;Kuutioi halkaistun avokadon hedelmaliha ja purista paalle sitruunamehu. Poista halkaistuista tomaateista siemenet. Kuutioi tomaatit ja juusto.;Sekoita kasvikset, juusto, persilja ja mausteet. Annostele seos patonkiviipaleille.","testi","","Ei testattu","Maidoton;Gluteiiniton;Munaton","","Lämmin leipä","Koko vuosi","persilja","","0","Iltapalaruoka","0","",""
"3","Lapin Porosalaatti","1/2 (200g) jäävuorisalaatti;1 ruukku rucolasalaattia;2 tomaattia;10 cm:n pala kurkkua;noin 200 g Kainuun juustoleipää;100 g kylmäsavustettua poroa viipaleina;1/2 dl puolukoita;;Kastike:;;2 rkl oljya;2 rkl rosmariini-laventeli-valkoviinietikkaa;1 tl juoksevaa hunajaa;ripaus suolaa;ripaus mustapippuria","Huuhdo ja valuta salaatit. Revi ne laakean vadin pohjalle. Lohko tomaatit, kuutioi kurkku ja leipajuusto. Asettele paloitellut ainekset salaattipedille. Leikkaa poroviipaleet puoliksi ja kiedo ne rullille salaatin paalle. Koristele puolukoilla. Sekoita oljy, etikka, hunaja ja mausteet keskenään ja kaada kastike salaatin paalle.",""," 21.9.2020","Ei testattu","Munaton","","Salaatti (ruokaisa)","Koko vuosi","rucola;rosmariini","","0","Iltapalaruoka","0","",""
"5","Punajuuri-Pekonisalaatti Ja Fetakastike","n. 800 g tuoreita pienehkoja punajuuna;100 g pekonia;1 pieni punasipuli hienonnettuna ;1/2 ruukkua roomansalaattia ;1/4 ruukkua rucolasalaattia;2 rkl kapriksia;;Marinadi:;3/4 dl oliivioljya;1 rkl rosmariini-laventeli-valkoviinietikkaa;2 tl sinappia ;1/2 tl suolaa ;1/4 tl mustapippuria;;Fetakastike:;1 tlk (noin 200 g) fetakuutioita suolaliemessa (Pirkka);noin 1 dl maitoa","Keita pestyt punajuuret juurineen ja kantoineen Reilusti suolalla (1 rkl suolaa/1 I vetta) maustetussa vedessa 45 - 60 minuuttia koon mukaan.;Tarkista kypsyys tikulla. Huuhtele punajuuret nopeasti kylmällä vedella ja kuori. Anna jäähtyä.;;Sekoita marinadia varten öljy, etikka, sinappi, suola ja mustapippuri. Leikkaa jäähtyneet punajuuret ohuiksi viipaleiksi ja lado kulhoon. Kaada marinadi paalle ja anna maustua kylmassa muutaman tunnin ajan, mielellaan yon yli.;;Lado pekonit lautaselle kahden talouspaperiarkin paalle ja peita talouspaperilla. Kuumenna mikroaaltouunissa taysteholla (600 W) ensin nelja minuuttia. Käännä lautasta valilla hieman, jos mikrossa ei ole pyorivää alustaa. Siirra pekonisuikaleet kuivien paperiarkkien väliin ja jatka sitten kypsentamista puolen minuutin erissa, kunnes pekonit ovat rapeita ja rasvattomia.;Voit latoa pekonit myos kylmalle valurautapannulle ja kuumentaa hitaasti, jotta rasva irtoaa ja pekonista tulee rapeata. Käännä tarvittaessa ja varo polttamasta. Kuivaa pekonit talouspaperin välissä ja anna jähtyä.;;Hienonna pekonit ja punasipuli. Tee huuhdotuista ja hyvin valutetuista salaatinlehdista peti laakealle vadille. Lado marinoidut punajuuriviipaleet salaatille ja levita paalle punasipuli, pekoni ja huuhdotut kaprikset.;;Huuhdo juustokuutiot, jauha ne monitoimikoneessa ja lisää vähitellen maito. Anna kastikkeen jäähtyä kylmässä.","","","Ei testattu","Gluteiiniton;Munaton","","Salaatti (ruokaisa)","","rucola;rosmariini","","0","Iltapalaruoka","0","",""
"6","Broilerisalaattii Ala Aura","n. 400 g marinoituja broilerifileesuikaleita ;1-2 rlk voita;1 (n. 170 g) AURA kolmiopala;2 paprikaa;1/2 kurkkua;1/2 makeaa melonia, esim. cantaloupe;1 ruukku tai kera rapeaa lehtisalaattia tai eri salaattilajikkeita;;Currykastike;1 prk kermaviilia ;1 rkl sitruunamehua ;1/2 tl sitruunapippuria;1 tl currya;2 tl sokeria","Paista broilerisuikaleet voissa kypsiksi ja jäähdytä. Kuutioi AURA ja paloittele muut ainekset. Revi salaatti. Kokoa ainekset kerroksittain salaattivadille tai kulhoon. Sekoita kastike ja tarjoa salaatin kanssa.",""," 1.5.2020","Ei testattu","Gluteiiniton;Munaton","","Salaatti (ruokaisa)","Koko vuosi","","","0","Iltapalaruoka","0","",""
"7","Perunasalaatti (Lämmin)","8-10 perunaa;170 g pekoniviipaleita;1/2 purjoa;1 varsisellerin varsi;;Kastike;2 rkl silputtua tilliä;1/2 dl öljyä;2 rkl valkoviinietikkaa;2 rkl fariinisokeria;1 tl mietoa sinappia;1/2 tl suolaa;1 tl rouhittua mustapippuria","Keitä perunat kypsiksi ja kuori ne. Leikkaa perunat paksuiksi viipaleiksi ja pidä ne lampimina. Paista pannulla pieneksi kuutioitu pekoni. Lisää suikaloitu purjo ja sellerinvarsi ja kuullota ne pannulla pehmeiksi. Sekoita kastikeainekset keskenään. Lisää pekonipurjoseos ja kastike perunoiden joukkoon. Tarjoa heti esimerkiksi raikkaan salaatin kanssa alku- tai pääruokana.","","","Ei testattu","Gluteiiniton;Munaton","","Salaatti (ruokaisa);Grilliruoan/lihan lisäke","Kesä","tilli","","0","Lisäkeruoka","0","",""
"8","Ruokaisa Broileri-Perunasalaatti","5 - 6 kpl (noin 600 g) kiinteitä perunoita;1 pkt (noin 350 g) hunaja-rnarinoituja broilerinfileepihvejä;1 punasipuli;1 tlk fetajuustokuutioita;6 aurinkokuivattua tomaattia ;ripaus mustapippuria ;1 ruukku jääsalaattia;1 ruukku rucolasalaattia;2 tomaattia;;Kastike:;2 rkl aurinkokuivattujentomaattien oljya;1 rkl valkosipuli-valkoviinietikkaa","Pese, kuori ja keitä perunat kypsiksi. Kypsennä broilerinfileepihveja 200-asteisessa uunissa noin 20 minuuttia. Kuori ja viipaloi punasipuli. Leikkaa kuumat perunat isoiksi kuutioiksi ja siirra ne kulhoon.;;Valmista kastike: sekoita aurinkokuivattujen tomaattien öljy ja valkosipuli-valkoviinietikka keskenään ja kaada perunoiden päälle. Lisaa perunoiden joukkoon valutetut fetajuustokuutiot ja suikaloidut aurinkokuivatut tomaatit, mausta salaatti ripauksella mustapippuria. Anna marinoitua hetki.;;Huuhdo ja valuta salaatit hyvin. Revi jääsalaatti ja levitä se vadin reunoille. Kaada perunaseos vadin keskelle. Viipaloi broilerinfileepihvit ja nosta viipaleet salaatin paalle. Asettele punasipulirenkaat, viipaloidut tomaatit ja rucolasalaatti vadille. Tarjoa lisaksi tuoretta leipää.","","","Ei testattu","Gluteiiniton;Munaton","","Salaatti (ruokaisa)","","rucola","","0","Iltapalaruoka","0","",""
"9","Amerikan Tädin Perunasalaatti","800 g uusia perunoita;5-6 munaa;1 nippu (200 g) kevätsipulia;;Kastike;1 dl kevytmajoneesia;1 dl kermaviilia;1 1/2 rkl sinappia;2 tl viherpippuria ;1/4-1/2tl suolaa;2 valkosipulinkynttä;;Koristeeksi;kananmunalohkoja;sipulinvarsia","Pese perunat ja keita ne kypsiksi suolalla maustetussa, vähässä vedessä. Keitä kananmunat koviksi eli noin 10 minuuttia. Huuhdo sipulit. Viipaloi sipulien valkoinen osa ja leikkaa mukaan myos puolet varsista. Kuutioi isot perunat ja halkaise pienet. Lohko kuoritut munat ja leikkaa lohkot viela puoliksi. (Jätä osa kokonaisista lohkoista koristelua varten.) Pane salaattiainekset kulhoon.;;Sekoita kastiketta varten kevytmajoneesi, kermaviili, sinappi, murskatut viherpippurit, suola ja hienonnetut valkosipulinkynnet keskenaan. Kaada kastike salaatin paalle. Sekoita varovasti.;;Anna maustua viileässä vähintaan 12 tuntia. Koristele kananmunanlohkoilla ja sipulinvarsilla. Tarjoa chillisten broilerikebakkojen kanssa.","","","Ei testattu","Gluteiiniton","","Salaatti (ruokaisa);Grilliruoan/lihan lisäke","Koko vuosi","","","0","Lisäkeruoka","0","",""
"10","Sadonkorjaajan Salaatti","3 keitettya perunaa ;2 keitettya porkkanaa ;1 pss (200 g) herneitä ;2 omenaa ;2 maustekurkkua ;200 g leikkelemakkaraa;;Kastike;1 prk Kermaviiliä;2 rkl sitruunamehua;1/2 tl suolaa;2 tl sokeria;1/2 tl rouhittua mustapippuria;1 tl paprikajauhetta;1/2 dl hienonnettua ruohosipulia tai persiljaa","Keitä perunat  ja  porkkanat  kypsiksi. Kuutioi kasvikset, omenat, maustekurkku ja leikkelemakkara pieniksi kuutioiksi. Lisää sulaneet herneet joukkoon. Sekoita kastikkeen ainekset keskenaan ja lisää salaattiin. Voit tarjota kastikkeen myos erikseen. Anna maustua jääkaapissa muutama tunti ennen tarjoilua.","","27.4.2020 27.4.2020","Ei testattu","Gluteiiniton;Munaton","","Salaatti (ruokaisa)","Koko vuosi","ruohosipuli;persilja","","0","Iltapalaruoka","0","",""
"11","Italiansalaatti","2 dl makaroneja esimerkiksi perhosia, simpukoita, sarvimakaroneja;1 ps (200 g) herne-maissi-porkkanasekoitusta;2 omenaa;1 maustekurkku;100 g tuoretta kurkkua;150 g savukinkkua (viipaleina);;Kastike;1 dl kevytmajoneesia;2 dl kermaviilia;1 tl aromisuolaa;1 tl vahvaa sinappia","Kypsennä makaronit pakkauksen ohjeen mukaan ja huuhtele ne kylmalla vedella lavikossa tai anna jäähtyä valutettuina. Sulata hernemaissiporkkanaseos. Kuori ja suikaloi omenat. Suikaloi kurkut ja savukinkku. Sekoita kastikkeaineet. Sekoita salaatin aineet keskenään ja lisää joukkoon kastike. Pane salaatti tarjoilukulhoon ja ripottele pinnalle persiljaa.","","21.7.2004;18.5.2005","Hyvä","Munaton","","Salaatti (ruokaisa)","","","","0","Iltapalaruoka","0","",""
"12","Iltapalasalaatti","kypsää spagettia;meetwurstia;maustekurkkua;herneitä;omenaa;purjoa;;Kastike;1 keltuainen;2 tl vahvaa sinappia;2 rkl omenaviinietikkaa;ripaus suolaa;1/4 tl rouhittua mustapippuria ;1 dl rypsioljyä;","Sekoita keltuaiseen sinappi, etikka ja mausteet. Lisaa öljy vahitellen ohuena nauhana koko ajan vatkaten. Kastike on sakeaa, voit sekoittaa sen salaattiin sellaisenaan tai hieman vaalealla mehulla ohennettuna.","","","Hyvä","Laktoositon;Maidoton","","Salaatti (ruokaisa)","","","","0","Iltapalaruoka","0","",""
"15","Tomaatti-Sipulisalaatti Cachumber","5 tomaattia;1 sipuli;3 rkl persiljaa;1/2 tl suolaa;2 rkl sitruunan mehua;1/2 tl cayennepippuria;1/2 tl paahdettua kuminaa","Leikkaa tomaatti ja sipuli ohuiksi viipaleiksi, lisää muut aineet ja sekoittele varovasti. Anna maustua viileässä 1-2 h.","","","Hyvä","Gluteiiniton;Munaton;Kevyt","","Salaatti (viherlisäke)","","persilja","","0","Lisäkeruoka","0","",""
"16","Perunasalaatti","10 keitettya keskikokoista perunaa;3 - 4 herkkukurkkua;2 omenaa (esimerkiksi Granny Smith);1 punasipuli tai tavallinen sipuli;2 rkl kapriksia;;Kastike;1 prk kermaviiliä;1 1/2 dl kevytmajoneesia;2 valkosipulinkynttä;1 tl vahvaa sinappia;1 tl sokeria;1/2-1 tl suolaa;1/2-1 tl mustapippuria","Keitä perunat kuorineen mieluiten jo edellisena päivänä ja kuori ne. ;;Paloittele perunat, herkkukurkut ja omenat sokeripalan kokoisiksi kuutioiksi. Kuori ja leikkaa sipuli pieniksi kuutioiksi. Sekoita kasvikset varovasti keskenään kulhossa ja lisää kaprikset joukkoon. ;;Sekoita kermaviili ja majoneesi. Mausta valkosipulilla, sinapilla, sokerilla, suolalla ja mustapippurilla. Tarkista maku ja kaada kastike salaatin paalle. Sekoita varovasti tasaiseksi. Anna salaatin vetaytya jääkaapissa tunnin verran ennen tarjoilua.","","31.3.2005","Hyvä","Gluteiiniton;Munaton","","Salaatti (ruokaisa);Grilliruoan/lihan lisäke","Koko vuosi","","","0","Lisäkeruoka","0","",""
"17","Kreikkalainen Pastasalaatti","3 dl pastaa;n. 1 I vettä;ripaus suolaa;3 tomaattia;1 paprika;1 pieni sipuli;150 g fetajuustoa;1 dl mustia kivellisiä oliiveja;;Kastike;3 rkl rypsiöljyä;3 rkl hienonnettua tuoretta oreganoa tai 1 1/2 tl kuivattua oreganoa;1 rkl viinietikkaa;2 valkosipulin kynttä murskattuna;1 tl sinappia;1/2 tl sokeria;1/2 tl suolaa;1/2 tl mustapippurirouhetta","Keita pasta pakkauksen ohjeen mukaan, valuta lävikössä ja anna jäähtyä. Puolita tomaatit ja viipaloi ne, samoin paprika ja sipuli. Viipaloi tai kuutioi fetaiuusto. Kokoa laakealle vadille tai kulhoon salaattianekset kerroksittain tai ryhmiksi. Sekoita kastikkeen ainekset keskenään ja kaada salaatin päälle.","","21.6.2007","Hyvä","Laktoositon;Munaton","","Salaatti (ruokaisa)","","","Kreikka","0","Iltapalaruoka","0","",""
"18","Kesänmuistosalaatti","1 salaattisekoituspussi (Dole);1-2 päärynää;1 terttu viinirypaleitä ;vadelmia ja mansikoita (mielellaan tuoreita) ;200 g kutun tuorejuustoa tai fetaa;;KASTIKE;100 g pehmeaa vuohenjuustoa (Cabridoux);2 rkl kylmapuristettua oliivi- tai rypsioliya;1 rkl pähkinäöliyä;1 rkl viinietikkaa ;juoksevaa hunajaa ;suolaa, mustapippuria;;LASTUT;100 g raastettua vuohen gruyerejuustoa ;pinjansiemenia","Kokoa salaattiannokset suoraan tarjoiluastioihin. Pohjalle salaattia, päälle marjoja, päärynäviipaleita ja kuutioitua vuohenjuustoa. Jos fetajuusto maistuu liian suolaiselta, liota sita jonkin aikaa maidossa.;;Sekoita kastikeainekset keskenään esim. sauvasekoittimella. Ohenna kastike maitotilkalla sopivan juoksevaksi.;;Levita juustoraaste pyörylöiksi leivinpaperin paalle. Ripottele pinnalle pinjansiemenia. Paista 200 asteisessa uunissa, kunnes juustolastut ruskistuvat kevyesti. Irrota lastut paperista jäähtyneinä.","","","Ei testattu","Gluteiiniton;Munaton","","Salaatti (ruokaisa)","Kesä","","","0","Lisäkeruoka","0","",""
"19","Peruna-Fetajuustosalaatti","Kastike;4 rkl öljyä fetajuustopurkista;1 1/2 rkl balsamiviinietikkaa;1/2 sitruunan mehu;3/4 tl suolaa;1 tl valkosipuli - pippuri sekoitusta;ripaus sokeria;;Salaatti;1/2 kg perunoita keitettyinä;1 punasipuli;1 dl pistaasipahkinöitä tai pinjansiemeniä;1 prk (385/200 g) fetajuusto-kuutioita öljymarinadissa;2 avokadoa;noin 1 I erilaisia salaattilaatuja (rucolaa, jääsalaattia, pinaattia tms.)","Sekoita öljy, balsamiviinietikka, sitruunamehu, suola, pippurisekoitus ja sokeri salaattikulhossa.;;Kuori ja paloittele kypsat perunat seka sipuli. Lisaa ne käännellen salaatinkastikkeeseen maustumaan. Kuori ja rouhi pistaasipähkinät. Valuta fetajuusto öljymarinadista. Kuori ja paloittele avokadot. Huuhtele salaatit kylmässä vedessa ja revi ne.;;Sekoita ainekset keskenään. Anna maustua viileässä.","","2.10.2004","Hyvä","Gluteiiniton;Munaton","","Salaatti (ruokaisa)","Kesä","rucola;pinaatti","","0","Iltapalaruoka;Bileruoka","0","",""
"20","Punajuuri-Fetasalaatti","500 g punajuuria (8-10 pienehkoa);2 punasipulia;200 g fetajuustoa;;Kastike;2-3 rkl omenaviinietikkaa;1 rkl hunajaa;1 tl sinappia;1 tl sitruunapippuria;1 dl (rypsi)öljyä;;Koristeeksi;1 ruukku basilikaa","Pese punajuuret ja keitä kuorineen n. 50 min. Jäähdytä kylmässä vedessä, jotta väri sailyisi hyvin. Kuori, kuutioi tai viipaloi. Levita vadille punajuuret, sipulirenkaat ja feta. Ravista kastikeaineet sekaisin ja kaada salaatin päälle. Anna maustua hetki viileässä ja koristele juuri ennen tarjoamista basilikan lehdilla.","","","Ok","Gluteiiniton;Munaton","","Salaatti (viherlisäke)","Talvi\Joulu","","","0","Lisäkeruoka","0","",""
"21","Tulinen Perunasalaatti","1 kg kiinteitä perunoita (vihreä pussi) ;noin 50 g purjoa;;Kastike;1 dl kermaviiliä;1 dl kevytmajoneesia;1/2 dl Thai Sweet Chilli -kastiketta;1 rkl currya;;Salaattipeti;1 ruukku jääsalaattia;1 rs (250 g) kirsikkatomaatteja","Kuori pestyt perunat. Keita ne kypsiksi suolalla (2 tl suolaa/1 I vetta) maustetussa vedessä. Anna perunoiden jäähtyä.;;Sekoita keskenaan kermaviili, majoneesi, chilikastike ja curry.;;Hienonna halkaistu, huuhdottu purjo pieneksi silpuksi. Kuutioi jäähtyneet perunat ja pane perunakuutiot kulhoon kerroksittain kastikkeen ja purjosilpun kanssa. Sekoita salaatti kahdella isolla lusikalla tai kauhalla nostelemalla. Anna perunasalaatin maustua jääkaapissa hetken.;;Huuhtele jääsalaatti ja kirsikkatomaatit. Levita salaatti isolle vadille, kumoa päälle keoksi perunasalaatti. Koristele kirsikkatomaateilla ja purjosilpulla.","","4.6.2004;8.7.2004","Hyvä","Gluteiiniton;Sokeriton;Munaton","","Salaatti (ruokaisa);Grilliruoan/lihan lisäke","Koko vuosi","","","0","Lisäkeruoka","0","",""
"22","Punakaali-Omena-Homejuustosalaatti","vajaa puolikas punakaalia;1 ruukku lollo rosso-salaattia;1 punasipuli;2-3 omenaa;sitruunamehua omenoiden käsittelyyn;100 g sinihomejuustomurua;;kastikkeeksi:;oliiviöljyä;1 tl punaviinietikkaa;ripaus mustapippuria","Leikkaa punakaali ohuiksi suikaleiksi vaikkapa juustohöylällä. Sekoita kaalin joukkoon oliivioljya, punaviinietikkaa ja mausta se pippurilla.;Anna maustua hetken kylmassa. Tarjoiluvaiheessa lisaa sekaan lollorossqn lehdet, punasipulirenkaat ja omenaviipaleet, jotka on pyoraytetty sitruunamehussa tummumisen ehkäisemiseksi.;Lopuksi ripottele salaatin pinnalle sinihomejuustomuruja.","","","Ei testattu","Gluteiiniton;Munaton","","Salaatti (viherlisäke)","","","","0","Lisäkeruoka","0","",""
"23","Pastasalaatti","2 dl kuviopastaa, esimerkiksi perhosia ;vettä, suolaa ;2 ruukkupinaattia tai 1 ruukkusalaatti ;1 pieni purjo;1 keltainen paprika ;200 g herkkusieniä ;150 g kylmäsavustettua kirjolohta tai palvikinkkua ;1 rkl oliiviöljyä ;3 rkl parmesaaniraastetta ;3 rkl tuoretta basilikaa ;;Kastike ;3 rkl oliiviöljyä ;1 - 2 rkl (balsami)viinietikkaa ;1/2 tl mustapippuria ;1/2 tl sokeria;1 - 2 rkl tuoretta basilikaa tai oreganoa","Keitä pasta kypsäksi suolalla maustetussa vedessä pakkauksen ohjeen mukaan. Valuta pasta hyvin ja sekoita joukkoon kastikeainekset.;;Hienonna halkaistu, huuhdottu purjo, suikaloi paprika ja kylmäsavukirjolohi tai palvikinkku, viipaloi herkkusienet. Kypsennä hienonnettuja vihanneksia (ja kinkkua) pannulla tilkassa oliiviöljyä.;;Suikaloi rapea keräsalaatti ja levitä laakealle vadille. Kaada päälle lämmin pasta ja vihannesseos sekä kirjolohi tai kinkkusuikaleet. Ripottele pastan ja vihannesten väliin sekä päälle parmesaaniraastetta ja hienonnettua basilikaa.","Lämmin","26.9.2004","Hyvä","Munaton","","Salaatti (ruokaisa)","","","","0","Iltapalaruoka","0","",""
"24","Perunasalaatti, Lämmin","noin 200 g palvikinkkua;1 pieni purjo;1 paprika;1 pss (200g) pakasteherneitä;1 pss (400g) pariisinperunoita;2-3 rlk ranskalaista salaatinkastiketta;1 - 2 tl basilikaa tai 2 - 3 rkl tuoretta hienonnettuna;;Lisäksi;jäävuorisalaattia;;Pinnalle;200 g kirsikkatomaatteja tai 2 - 3 tomaattia;basilikaa tai persiljaa hienonnettuna;;Kastike;1 prk (200 g) kermaviiliä;1 rkl sinappia;1 rkl viinietikkaa;ripaus suolaa, sokeria ja pippuria","Hienonna halkaistu, huuhdotti purjo. Suikaloi kinkku ja paprika. Kiehauta pannulla salaatinkastikkeessa pariisinperunat. Sekoita joukkoon purjo, paprika ja kinkkusuikaleet. Mausta basilikalla. Anna hautua kannen alla noin 5 minuuttia. Lisää pannulle vielä herneet hetkeksi kuumenemaan. Hienonna pinnalle tuoretta basilikaa tai persiljaa. Koristele halkaistuilla kirsikkatomaateilla. Tarjoa kermaviilikastiketta ja suikaloitua jäävuorisalaattia perunasalaatin kanssa. Voit myös kaataa pannun vadille suikaloidun jäävuorisalaatin päälle.","","","Ei testattu","Gluteiiniton;Munaton","","Salaatti (ruokaisa);Salaatti (viherlisäke)","","persilja;basilika","","0","Lisäkeruoka","0","",""
"25","Savukalasalaatti","l tammenlehväsalaatti;600 g savukalaa;2 punasipulia;1 omena;2 dl herneitä;2 tomaattia;2 keitettyä kananmunaa;;sitruunajogurttikastike:;2 dl maustamatonta jogurttia;1/2 sitruunan mehu;1 murskattu valkosipulinkynsi;3 rkl tuoretta tilliä tai vesikrassia;yrttisuolaa;1 tl hunajaa","1. Asettele salaatin ainekset laakealle tarjoiluvadille omiksi ryhmikseen. Huuhdo kasvikset. Revi salaatti. Leikkaa sipulit ja tomaatit renkaiksi. Kuori ja lohko kananmunat. Paloittele kala ja poista ruodot.;;2. Sekoita kastikkeen aineet.","","","Ei testattu","Gluteiiniton","","Salaatti (ruokaisa)","","tilli","","0","Iltapalaruoka","0","",""
"26","Simpukankerääjän Pastasalaatti","1 l vettä;3 tl curryä;2 rkl kanafondia;5 dl kierre- tai simpukka-makaronia;1 punainen paprika;1 kesäkurpitsa;1/2 cantaloupemelonia;2 prk ananasta paloina (a 140/227 g);1 kypsä broileri;1 ps papuja (200 g);;Kastike:;2,5 dl RanskanCremeä;2,5 dl CremeVispiä;0,5 dl ananaspurkin lientä;2 rkl hunaja-omenaviini-etikkaa;4 tl rakuunaa;4 rkl kanafondia;0,5 rkl valkosipulistapippuriseosta","Keitä makaronit curryllä ja fondilla maustetussa vedessä lähes kypsiksi. Siivilöi ne ja jäähdytä. Pilko vihannekset    . ja meloni kuutioiksi, lisää makaronien joukkoon. Valuta ananaspalat, paloittele broileri kuutioiksi ja sekoita ne sekä sulaneet pavut salaatin joukkoon. Sekoita Cremet keskenään ja vaahdota. Mausta Creme kastike. Sekoita kastike salaatin joukkoon tai tarjoa erikseen. ;;Vinkkejä: Cantaloupemelonin voit korvata muilla melonilajikkeilla. Broilerin voit korvata vuohenjuustolla.","","","Ei testattu","Munaton","","Salaatti (ruokaisa)","","","","0","Iltapalaruoka","0","",""
"27","Peruna-Fetasalaatti","6-8 keitettyä, kiinteää perunaa;1 avomaankurkku tai pala tuoretta kurkkua ;4 tomaattia;2 kovaksi keitettyä kananmunaa;1 sipuli;200 g fetajuustoa;7-8 mustaa oliivia;;KASTIKE;2 rkl etikkaa;3 rkl ruokaöljyä;2 rkl vettä;suolaa;pippuria;;tuoretta oreganoa silputtuna","Kastike: Sekoita kastikeainekset hyvin. Anna maustuahetken aikaa.;;Salaatti: Leikkaa perunat lohkoiksi. Viipaloi kurkku. Leikkaa tomaatit ja kuoritut kananmunat lohkoiksi. Kuori ja viipaloi sipuli. Valuta fetajuustokuutioista;ja oliiveista liemet pois. Sekoita salaattiainekset kevyesti. Valuta kastikesalaatin päälle. Ripottele pinnalle oreganosilppua.","","","Hyvä","Gluteiiniton","","Salaatti (ruokaisa);Grilliruoan/lihan lisäke","Koko vuosi","","","0","Lisäkeruoka","0","",""
"28","Texmex-Salaatti","1 pieni kerä jäävuorisalaattia;1 vihreä paprika;1 punainen paprika;2-4 vihreää, säilöttyä chiliä;150 g palvikinkkua;1 pkt (170 g) McCadam;1 Pepper Jack -juustoa*);1 pieni prk ananaspaloja;muutama musta oliivi;maissilastuja;;Guacamolekastike:;1 prk Kevyt Hovi Maustamatonta;2 rkl limetti- tai sitruunamehua;1 pieni avokado;1 pieni tomaatti;1 pieni sipuli;2 valkosipulin kynttä;1/2 tl suolaa;1/4 tl rouhittua mustapippuria;n. l dl Valio Maitoa","Revi tai suikaloi salaatti, suikaloi paprikat, viipaloi chilit, kuutioi kinkku ja juusto sekä valuta ananas. Kokoa aineksista annossalaatteja. Lisää lautasten reunoille maissilastuja. Valmista kastike. Sekoita Kevyt Hovin joukkoon limetti tai sitruunamehun kanssa soseutettu avokado. Leikkaa tomaatti pieniksi kuutioiksi ja hienonna sipuli. Sekoita ne ja mausteet kastikkeeseen. Lisää maitoa sen verran, että kastikkeesta tulee sopivan sakeaa. Lisää kastikkeeseen acvokadon kivi, joka pitää kastikkeen kauniin värisenä.","","","Ei testattu","Gluteiiniton;Munaton","","Salaatti (ruokaisa)","","","","0","Iltapalaruoka","0","",""
"29","Aurapunajuurisalaatti","4 keskikokoista punajuurta ;n. 2/3 Aura kolmiopalasta ;1/2 ruukkua tuoretta oreganoa ;rucolaa;;1 rkl balsamietikkaa;1 rkl Dijon-sinappia;1/2 dl oliiviöljyä ;mustapippuria myllystä;muutama saksanpähkinäpuolikas","Keitä punajuuret sopivan kypsiksi, noin 30 min. Jäähdytä, kuori ja viipaloi punajuuret. Sekoita kastike balsamietikasta, sinapista ja oliiviöljystä. Kokoa salaatti. Leikkaa juusto ohuehkoiksi viipaleiksi ja kerrostele punajuuriviipaleiden sekä oreganon lehtien kanssa neljälle lautaselle. Valuta kastiketta kerrosten väliin ja päälle. Rouhi päälle hiukan mustapippuria. Asettele lautasille muutamia rucolanlehtiä ja karkeasti rouhittuja saksanpähkinöitä. Tarjoa rapean patongin ja kuivan valkoviinin kanssa.","","","Ei testattu","Gluteiiniton;Munaton","","Salaatti (ruokaisa);Salaatti (viherlisäke)","Talvi\Joulu","rucola","","0","Lisäkeruoka","0","",""
"30","Moderni Punajuurisalaatti","3 - 4 etikkapunajuurta tai noin 4 dl punajuuriviipaleita;250 g vuohenjuustoa ;1 dl pecanpähkinöitä;erilaisia salaatteja;1 dl hienonnettua tuoretta timjamia;;Kastike;3/4 dl oliiviöljyä;2 rkl sitruunamehua;1 rkl sokeria;1 tl suolaa;1/2 tl mustapippuria","Sekoita ensin kastikkeen aineet keskenään. Asettele revittyjä salaatinlehtiä annoslautasille. Viipaloi punajuuret, valuta niitä hetki talouspaperilla ja asettele ne sitten lautasille vuorotellen paloitellun vuohenjuuston kanssa.;Ripottele päälle pecanpähkinät ja timjamisilppu. Jaa kastike salaateille. Pidä viileässä tarjoiluhetkeen. Tarjoa alkupalana vastapaistetun patongin kanssa.","","25.6.2010","Herkku","Gluteiiniton;Munaton","Lauri","Salaatti (viherlisäke)","Koko vuosi","timjami","","0","Lisäkeruoka","0","",""
"31","Punajuuria Sinihomejuuston Kera","3-4 punajuurta;2 rkl kylmäpuristettua rypsiöljyä;suolaa ja pippuria;1 ruukullinen rucolaa;noin 50 g sinihomejuustoa muruina;cashewpähkinöitä","Kuori punajuuret ja leikkaa ne ohuehkoiksi viipaleiksi. Keitä punajuuriviipaleita vedessä noin 10 minuuttia. Kaada vesi pois.;;Mausta punajuuret rypsiöljyllä, suolalla ja pippurilla. Laita punajuuret tarjoiluastiaan kerroksittain revityn rucolan, sinihomejuuston ja cashewpähkinöiden kanssa.","","","Ei testattu","Gluteiiniton;Munaton","Lauri","Salaatti (viherlisäke)","Kesä","rucola","","0","Lisäkeruoka","0","",""
